lambda W       P1      P2      P3      P4      CDOM    NAP
412.50 0.00615 0.27007 0.11167 0.19168 0.03112 0.00000 0.03320
442.50 0.00463 0.25066 0.10962 0.17780 0.02935 0.00000 0.03205
490.00 0.00310 0.25215 0.12456 0.15517 0.03161 0.00000 0.03046
510.00 0.00266 0.25403 0.13489 0.14880 0.03332 0.00000 0.02986
555.00 0.00184 0.25243 0.14516 0.12704 0.03775 0.00000 0.02862
560.00 0.00178 0.25178 0.14580 0.12668 0.03851 0.00000 0.02849
665.00 0.00078 0.20528 0.12903 0.08497 0.03976 0.00000 0.02615
670.00 0.00074 0.19988 0.12599 0.08324 0.03855 0.00000 0.02605
681.25 0.00070 0.20073 0.12869 0.08553 0.03821 0.00000 0.02583
