lambda W       P1      P2      P3      P4      CDOM    NAP
412.50 0.00308 0.00294 0.00054 0.00049 0.00007 0.00000 0.00017 
442.50 0.00232 0.00273 0.00053 0.00046 0.00007 0.00000 0.00016 
490.00 0.00155 0.00275 0.00060 0.00040 0.00007 0.00000 0.00015 
510.00 0.00133 0.00277 0.00065 0.00038 0.00008 0.00000 0.00015 
555.00 0.00092 0.00275 0.00070 0.00033 0.00009 0.00000 0.00014 
560.00 0.00089 0.00274 0.00071 0.00032 0.00009 0.00000 0.00014 
665.00 0.00039 0.00224 0.00062 0.00022 0.00009 0.00000 0.00013 
670.00 0.00037 0.00218 0.00061 0.00021 0.00009 0.00000 0.00013 
681.25 0.00035 0.00219 0.00062 0.00022 0.00009 0.00000 0.00013 
