# rho lyap_trad lyap_tau
0.000000 1.694117 4.346025
4.444444 3.667006 4.025157
8.888889 5.718509 3.979881
13.333333 6.582478 3.977880
17.777778 10.966499 4.077774
22.222222 2.940822 4.130931
26.666667 10.656849 3.611841
31.111111 4.369294 3.807920
35.555556 5.196173 4.151456
40.000000 7.348394 4.186185
